# ONTO DATA
# Sources: Freebase, GUM, WSJ/PTB, added data by Amir Zeldes (see licenses)
airline	organization	organization/inanim
airliner	organization	organization/inanim
airlines	organization	organization/plural
airman	person	person
airplane	object	object/inanim
airport	place	place
airports	object	object
airwave	abstract	abstract/inanim
airway	place	place/inanim
alarm	abstract	abstract/inanim
Albanian	person	person
Albanian	person	person
album	object	object/inanim
alchemist	person	person
alcohol	substance	substance/inanim
alcoholic	person	person
alcoholism	abstract	abstract/inanim
ale	substance	substance/inanim
alert	person	person
Algerian	person	person
alimony	abstract	abstract/inanim
all	abstract	abstract
allegation	abstract	abstract/inanim
allegations	abstract	abstract/plural
allegiance	abstract	abstract/inanim
allegory	abstract	abstract/inanim
allergy	abstract	disease/inanim
alley	place	place/inanim
alliance	abstract	abstract/inanim
allies	person	person/plural
alligator	animal	animal
allocation	abstract	abstract/inanim
allotment	abstract	abstract/inanim
allowance	abstract	abstract/inanim
allrightnik	person	person
Allton	person	person
allure	abstract	abstract/inanim
allusion	abstract	abstract/inanim
ally	person	person
almanac	object	object
Almanac	organization	organization
almoner	person	person
alpaca	animal	animal
Alphabet	abstract	abstract
alphabet	abstract	abstract/inanim
alphabets	abstract	abstract
alt.religion.scientology	place	place
altar	place	place/inanim
alternative	abstract	abstract/inanim
altitude	quantity	quantity/inanim
aluminum	substance	substance/inanim
am	time	time
amateur	person	person
amazement	abstract	abstract/inanim
ambassador	person	person
ambiance	abstract	abstract/inanim
ambiguity	abstract	abstract
ambiguity	abstract	abstract/inanim
ambition	abstract	abstract/inanim
ambivalence	abstract	abstract/inanim
ambulance	object	object/inanim
amendment	abstract	abstract
amenities	abstract	abstract/plural
amenities	place	place
amenity	abstract	abstract/inanim
America	place	place
American	person	person
American	person	person
Americana	abstract	abstract/inanim
americans	object	object/inanim
ammo	object	object/inanim
amnesty	abstract	abstract/inanim
amount	quantity	quantity
amounts	quantity	quantity/plural
amphibian	animal	animal
amplifier	object	object/inanim
amusement	abstract	abstract/inanim
analysis	abstract	abstract
analyst	person	person
Analytics	abstract	abstract
analytics	abstract	abstract/inanim
analyzing	event	event/inanim
anarchy	abstract	abstract
anathema	abstract	abstract/inanim
anatomist	person	person
anatomy	abstract	abstract
