ⲕⲁⲥⲓⲁⲛⲟⲥ	M
ⲕⲏⲫⲁⲥ	M
ⲕⲗⲁⲩⲇⲓⲟⲥ	M
ⲕⲟⲣⲛⲏⲗⲓⲟⲥ	M
ⲕⲟⲩⲁⲣⲧⲟⲥ	M
ⲕⲣⲓⲥⲡⲟⲥ	M
ⲕⲣⲟⲛⲟⲥ	M
ⲕⲩⲣⲓⲛⲟⲥ	M
ⲗⲁⲍⲁⲣⲟⲥ	M
ⲗⲉⲅⲉⲱⲛ	M
ⲗⲉⲅⲓⲱⲛ	M
ⲗⲓⲁ	F
ⲗⲓⲃⲁⲛⲟⲥ	M
ⲗⲟⲩⲕⲁⲥ	M
ⲗⲟⲩⲕⲓⲟⲥ	M
ⲗⲩⲥⲓⲁⲥ	M
ⲗⲱⲧ	M
ⲙ ⲙⲁⲑⲟⲩⲥⲁⲗⲁ	M
ⲙ ⲙⲁⲗⲉⲏⲗ	M
ⲙ ⲙⲁⲧⲧⲁⲑⲁ	M
ⲙ ⲙⲁⲧⲧⲁⲑⲓⲁⲥ	M
ⲙ ⲙⲉⲛⲛⲁ	M
ⲙⲁⲑⲓⲁⲥ	M
ⲙⲁⲙⲙⲱⲛⲁⲥ	M
ⲙⲁⲛⲁⲥⲥⲏ	M
ⲙⲁⲣⲑⲁ	F
ⲙⲁⲣⲓϩⲁⲙ	F
ⲙⲁⲣⲓⲁ	F
ⲙⲁⲣⲕⲟⲥ	M
ⲙⲁⲧⲑⲁⲙ	M
ⲙⲉⲗⲭⲓⲥⲉⲇⲉⲕ	M
ⲙⲉⲥⲥⲓⲁⲥ	M
ⲙⲓⲭⲁⲏⲗ	M
ⲙⲙⲁⲑⲑⲁⲑⲓⲁⲥ	M
ⲙⲱⲩⲥⲏⲥ	M
ⲛ ⲁⲣⲭⲓⲡⲡⲟⲥ	M
ⲛ ⲉⲛⲱⲥ	M
ⲛ ⲉⲡⲁⲫⲣⲁ	M
ⲛ ⲉⲡⲁⲫⲣⲟⲇⲓⲧⲟⲥ	M
ⲛ ⲍⲁⲃⲟⲩⲗⲱⲛ	M
ⲛ ⲑⲁⲣⲣⲁ	M
ⲛ ⲓⲱⲛⲁⲥ	M
ⲛ ⲕⲁⲓⲛⲁⲙ	M
ⲛ ⲟⲛⲏⲥⲓⲫⲟⲣⲟⲥ	M
ⲛ ⲥⲁⲗⲁ	M
ⲛ ⲧⲓⲃⲉⲣⲓⲟⲥ	M
ⲛ ⲭⲟⲩⲍⲁ	M
ⲛⲁⲁⲥⲥⲱⲛ	M
ⲛⲁⲑⲁⲛⲁⲏⲗ	M
ⲛⲁⲣⲕⲓⲥⲥⲟⲥ	M
ⲛⲉⲫⲑⲁⲗⲉⲓⲙ	M
ⲛⲏⲣⲉⲁⲥ	M
ⲛⲓⲕⲟⲇⲏⲙⲟⲥ	M
ⲛⲙ ⲗⲩⲥⲁⲛⲓⲁⲥ	M
ⲛⲙ ⲙⲁⲑⲑⲁⲓⲟⲥ	M
ⲛⲙ ⲡ ⲁⲙⲙⲱⲛⲁⲥ	M
ⲟⲇⲟⲗⲗⲁ	F
ⲟⲍⲉⲓⲁⲥ	M
ⲟⲛⲏⲥⲓⲙⲟⲥ	M
ⲟⲩⲣⲓⲁⲥ	M
ⲡ ϩⲣⲙⲏⲥ	M
ⲡ ⲁⲛⲇⲓⲭⲣⲏⲥⲧⲟⲥ	M
ⲡ ⲁⲛⲧⲓⲭⲣⲏⲥⲧⲟⲥ	M
ⲡ ⲁⲛⲧⲓⲭⲣⲓⲏⲥⲟⲩⲥⲧⲟⲥ	M
ⲡ ⲙⲁⲙⲱⲛⲁⲥ	M
ⲡⲁⲙⲃⲱ	M
ⲡⲁⲣⲙⲉⲛⲁⲥ	M
ⲡⲁⲥⲧⲁⲙⲱⲛ	M
ⲡⲁⲩⲗⲉ	M
ⲡⲁⲩⲗⲟⲥ	M
ⲡⲉⲣⲥⲓⲥ	F
ⲡⲉⲧⲣⲟⲥ	M
ⲡⲓⲗⲁⲧⲟⲥ	M
ⲡⲟⲛⲧⲓⲟⲥ	M
ⲡⲟⲣⲕⲓⲟⲥ	M
ⲥⲁⲇⲱⲕ	M
ⲥⲁⲗⲁⲑⲓⲏⲗ	M
ⲥⲁⲗⲙⲱⲛ	M
ⲥⲁⲙⲟⲩⲏⲗ	M
ⲥⲁⲙⲯⲱⲛ	M
ⲥⲁⲟⲩⲗ	M
ⲥⲁⲣⲁⲡⲓⲟⲛ	M
ⲥⲁⲣⲣⲁ	F
ⲥⲁⲧⲁⲛⲁⲥ	M
ⲥⲁⲩⲗⲟⲥ	M
ⲥⲓⲗⲁⲥ	M
ⲥⲓⲗⲟⲩⲁⲛⲟⲥ	M
ⲥⲓⲙⲱⲛ	M
ⲥⲟⲗⲟⲙⲱⲛ	M
ⲥⲧⲉⲫⲁⲛⲟⲥ	M
ⲥⲩⲙⲉⲱⲛ	M
ⲥⲱⲥⲓⲡⲁⲧⲣⲟⲥ	M
ⲧⲁⲃⲓⲑⲁ	F
ⲧⲉⲣⲧⲓⲟⲥ	M
ⲧⲉⲣⲧⲩⲗⲗⲟⲥ	M
ⲧⲓⲃⲉⲣⲓⲁⲥ	M
ⲧⲓⲙⲁⲓⲟⲥ	M
ⲧⲓⲙⲟⲑⲉⲟⲥ	M
ⲧⲓⲧⲟⲥ	M
ⲧⲟⲣⲕⲁⲥ	F
ⲧⲩⲙⲏⲧⲣⲓⲟⲥ	M
ⲧⲩⲭⲓⲕⲟⲥ	M
ⲫⲁⲛⲟⲩⲏⲗ	M
ⲫⲁⲣⲁⲱ	M
ⲫⲁⲣⲉⲥ	M
ⲫⲏⲗⲓⲝ	M
ⲫⲏⲥⲧⲟⲥ	M
ⲫⲓⲗⲁⲅⲣⲓⲟⲥ	M
ⲫⲓⲗⲓⲡⲡⲟⲥ	M
ⲫⲓⲗⲟⲑⲉⲟⲥ	M
ⲫⲓⲗⲟⲑⲉⲥ	M
ⲫⲟⲓⲃⲁⲙⲙⲱⲛ	M
ⲭⲁⲏⲗ	M
ⲭⲣⲓⲥⲧⲟⲥ	M
ⲭⲣⲓⲥⲧⲟⲫⲟⲣⲟⲥ	M
ⲱⲥⲁⲛⲛⲁ	M
