f	muc	bcub	ceafe	size	type
0.84	0.78	0.94	0.8	2	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.75	0.78	1.02	0.45	4	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.75	0.78	1.02	0.45	4	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.696666666667	0.78	1.07	0.24	0	invent_ante
0.696666666667	0.78	1.07	0.24	0	invent_ante
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.84	0.78	0.94	0.8	2	invent_ana
0.666666666667	0.78	1.09	0.13	15	invent_ana
0.75	0.78	1.02	0.45	4	invent_ana
0.75	0.78	1.02	0.45	4	invent_ana
1.29	0.78	1.12	1.97	0	invent_both
1.29	0.78	1.12	1.97	0	invent_both
0.726666666667	0.78	1.03	0.37	0	invent_ante
